                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3521,                 2.0783,                 1.4645,                0.85837,                0.69433,                0.78843,                0.50832,                 1.3115,                 1.6808,                 1.5303,             0.00054942,             0.00054942,             0.00054942
                      1,                 1.2445,                  1.463,                 1.3578,                0.75346,                0.76378,                0.79128,                0.50377,                 1.2347,                 1.6526,                 1.4744,              0.0010996,              0.0010996,              0.0010996
                      2,                 1.2643,                 1.3501,                 1.3544,                0.75782,                0.76541,                0.82126,                0.51353,                 1.3197,                 1.5729,                 1.5509,              0.0016443,              0.0016443,              0.0016443
                      3,                 1.2638,                 1.2128,                 1.3449,                0.94032,                0.77236,                0.87301,                0.55835,                 1.3508,                0.97411,                 1.5545,              0.0016422,              0.0016422,              0.0016422
                      4,                 1.2254,                  1.088,                 1.3233,                0.82397,                0.80088,                0.83943,                0.55265,                 1.2306,                0.96121,                 1.4759,              0.0016422,              0.0016422,              0.0016422
                      5,                  1.194,                 1.0329,                 1.3131,                0.89908,                0.78061,                0.87121,                0.56162,                 1.2303,                0.88061,                 1.4651,               0.001634,               0.001634,               0.001634
                      6,                  1.179,                0.98692,                  1.291,                0.89068,                0.80426,                0.87098,                0.55624,                  1.173,                0.98858,                 1.4146,              0.0016257,              0.0016257,              0.0016257
                      7,                 1.1565,                0.94287,                 1.2833,                0.88454,                0.87433,                0.90896,                0.61805,                 1.1756,                0.76575,                  1.383,              0.0016175,              0.0016175,              0.0016175
                      8,                 1.1417,                0.88761,                 1.2557,                0.92921,                0.78689,                0.88713,                0.60439,                 1.1994,                0.90232,                 1.4123,              0.0016092,              0.0016092,              0.0016092
                      9,                 1.1409,                0.89918,                 1.2639,                0.88922,                0.83466,                0.90397,                0.61559,                 1.0743,                0.69575,                 1.3354,               0.001601,               0.001601,               0.001601
                     10,                 1.1352,                0.87391,                 1.2707,                0.95427,                0.80426,                0.88434,                0.59494,                 1.2019,                0.75282,                 1.4199,              0.0015927,              0.0015927,              0.0015927
                     11,                 1.1313,                0.87584,                 1.2719,                0.89412,                0.81439,                0.85359,                0.58073,                 1.1532,                0.83196,                 1.3965,              0.0015845,              0.0015845,              0.0015845
                     12,                 1.0924,                 0.8334,                 1.2391,                0.89624,                0.78737,                0.90752,                0.61449,                 1.1628,                0.71613,                 1.3691,              0.0015762,              0.0015762,              0.0015762
                     13,                 1.1203,                0.84309,                 1.2541,                0.91006,                0.76873,                 0.8898,                0.59655,                 1.1926,                0.76049,                 1.4128,               0.001568,               0.001568,               0.001568
                     14,                 1.0996,                0.79107,                 1.2464,                 0.9605,                0.81439,                0.91302,                0.63465,                 1.1669,                 0.7086,                  1.401,              0.0015597,              0.0015597,              0.0015597
                     15,                 1.1017,                0.81993,                 1.2391,                0.90332,                0.83188,                0.90683,                0.62924,                 1.1473,                0.67319,                 1.3766,              0.0015515,              0.0015515,              0.0015515
                     16,                 1.0861,                0.79151,                 1.2354,                0.95995,                0.83373,                0.92186,                 0.6281,                 1.1405,                0.61919,                 1.3644,              0.0015432,              0.0015432,              0.0015432
                     17,                 1.0707,                0.77854,                 1.2334,                0.91478,                0.80426,                0.90918,                0.62179,                 1.1647,                0.64511,                 1.3633,               0.001535,               0.001535,               0.001535
                     18,                 1.0649,                0.78726,                 1.2297,                0.89579,                0.79412,                0.89235,                0.62528,                 1.1946,                0.68624,                 1.4289,              0.0015267,              0.0015267,              0.0015267
                     19,                 1.0724,                0.77551,                 1.2266,                0.93069,                0.81596,                0.91571,                0.62385,                 1.2159,                0.69958,                 1.4255,              0.0015185,              0.0015185,              0.0015185
                     20,                 1.0458,                0.74739,                 1.2103,                0.84023,                0.81031,                0.89088,                0.61134,                 1.2286,                0.77661,                 1.4318,              0.0015102,              0.0015102,              0.0015102
                     21,                 1.0598,                0.76865,                 1.2218,                0.92054,                0.83129,                0.91831,                0.62349,                 1.2934,                0.68433,                 1.4986,               0.001502,               0.001502,               0.001502
                     22,                 1.0477,                0.73663,                 1.2157,                0.86285,                0.83292,                 0.8897,                0.61245,                  1.178,                0.69958,                 1.4361,              0.0014937,              0.0014937,              0.0014937
                     23,                 1.0764,                0.75988,                 1.2163,                0.91979,                0.84569,                0.91612,                0.64102,                 1.2119,                0.77974,                  1.406,              0.0014855,              0.0014855,              0.0014855
                     24,                 1.0237,                0.70543,                 1.2002,                0.89152,                0.85483,                 0.9019,                 0.6276,                 1.1486,                0.71538,                 1.3614,              0.0014772,              0.0014772,              0.0014772
                     25,                 1.0128,                0.70951,                  1.211,                0.93772,                0.80764,                0.90533,                0.61699,                 1.1852,                0.65485,                 1.3883,               0.001469,               0.001469,               0.001469
                     26,                 1.0224,                0.72826,                 1.2042,                0.93642,                0.80088,                0.91026,                 0.6133,                 1.1712,                0.73391,                 1.3917,              0.0014607,              0.0014607,              0.0014607
                     27,                 1.0237,                0.71971,                  1.198,                0.91711,                0.81941,                0.91819,                 0.6224,                 1.2182,                0.67595,                 1.4139,              0.0014525,              0.0014525,              0.0014525
                     28,                 1.0235,                0.70447,                 1.2082,                0.93428,                0.89167,                0.92875,                0.63695,                 1.2157,                0.59533,                 1.4108,              0.0014442,              0.0014442,              0.0014442
                     29,                 1.0138,                0.70343,                 1.1974,                0.83322,                 0.8624,                0.90777,                0.63352,                 1.1825,                0.69517,                 1.4359,               0.001436,               0.001436,               0.001436
                     30,                 1.0136,                0.69968,                 1.1905,                0.89642,                0.82617,                0.89273,                0.61227,                 1.3358,                0.63784,                 1.6098,              0.0014277,              0.0014277,              0.0014277
                     31,                 1.0197,                0.70025,                 1.1977,                0.87031,                0.80764,                0.90559,                0.62201,                 1.3088,                0.60422,                  1.572,              0.0014195,              0.0014195,              0.0014195
                     32,                 1.0142,                0.70472,                  1.189,                0.90835,                0.80669,                0.89693,                0.60647,                 1.2649,                0.74173,                  1.436,              0.0014112,              0.0014112,              0.0014112
                     33,                0.99747,                0.67475,                 1.1761,                 0.9078,                0.84988,                0.91299,                0.62747,                 1.2158,                0.64881,                 1.4118,              0.0014029,              0.0014029,              0.0014029
                     34,                 1.0202,                0.69008,                 1.2043,                0.92696,                0.85657,                0.91907,                0.62348,                 1.2493,                0.61501,                 1.4654,              0.0013947,              0.0013947,              0.0013947
                     35,                 1.0166,                0.66808,                 1.1772,                0.93564,                0.84644,                0.92671,                0.63066,                 1.2697,                0.64819,                 1.4992,              0.0013864,              0.0013864,              0.0013864
                     36,                0.97579,                0.66612,                 1.1695,                0.91948,                0.82985,                0.91925,                0.62874,                  1.271,                0.62888,                  1.522,              0.0013782,              0.0013782,              0.0013782
                     37,                 0.9731,                 0.6513,                 1.1752,                0.92478,                0.81214,                0.91467,                0.62318,                 1.2178,                0.66611,                 1.4335,              0.0013699,              0.0013699,              0.0013699
                     38,                0.98027,                0.63011,                 1.1646,                0.92627,                0.84964,                0.92482,                0.64232,                 1.2801,                0.58807,                 1.5139,              0.0013617,              0.0013617,              0.0013617
                     39,                0.98053,                0.64839,                 1.1592,                0.94939,                0.82791,                0.92645,                0.63082,                 1.2436,                0.59756,                 1.5165,              0.0013534,              0.0013534,              0.0013534
                     40,                0.96209,                0.62078,                 1.1598,                0.93748,                0.84072,                0.92043,                0.62994,                 1.2317,                0.65512,                 1.4783,              0.0013452,              0.0013452,              0.0013452
                     41,                0.96194,                0.63056,                 1.1564,                0.90626,                0.87062,                0.93235,                0.64711,                 1.1451,                0.65233,                 1.3888,              0.0013369,              0.0013369,              0.0013369
                     42,                0.96639,                0.62871,                 1.1669,                 0.9333,                0.83456,                0.91579,                0.61634,                  1.265,                0.67773,                 1.5338,              0.0013287,              0.0013287,              0.0013287
                     43,                  0.979,                0.63455,                 1.1696,                0.93963,                0.82453,                0.91505,                0.62292,                  1.129,                0.70272,                 1.3466,              0.0013204,              0.0013204,              0.0013204
                     44,                0.95481,                0.62808,                 1.1581,                0.91552,                 0.8262,                0.91317,                0.64762,                 1.1924,                0.67252,                 1.4317,              0.0013122,              0.0013122,              0.0013122
                     45,                0.97462,                0.62843,                 1.1677,                0.94534,                0.81597,                0.90604,                0.63794,                 1.2072,                0.68543,                 1.4302,              0.0013039,              0.0013039,              0.0013039
                     46,                0.95101,                0.61719,                 1.1704,                0.89423,                 0.8474,                0.91175,                0.61433,                 1.1994,                0.66783,                 1.4535,              0.0012957,              0.0012957,              0.0012957
                     47,                0.96339,                0.61892,                 1.1634,                0.93424,                0.80507,                0.91329,                0.63198,                 1.3103,                0.58264,                 1.6045,              0.0012874,              0.0012874,              0.0012874
                     48,                0.95302,                0.60105,                 1.1418,                0.93318,                0.85595,                0.93103,                0.64965,                 1.2944,                0.55737,                 1.5568,              0.0012792,              0.0012792,              0.0012792
                     49,                 0.9519,                0.60961,                 1.1521,                 0.9067,                0.78819,                0.90009,                 0.6403,                 1.2066,                0.78386,                 1.4409,              0.0012709,              0.0012709,              0.0012709
                     50,                0.93582,                0.60745,                 1.1607,                0.89554,                0.79283,                0.89759,                0.62545,                 1.2614,                0.73391,                 1.5535,              0.0012627,              0.0012627,              0.0012627
                     51,                0.92619,                0.60102,                 1.1584,                0.94016,                0.82055,                  0.912,                 0.6279,                 1.2642,                0.61172,                 1.4986,              0.0012544,              0.0012544,              0.0012544
                     52,                0.94725,                0.61163,                 1.1533,                0.93338,                0.82642,                 0.9084,                0.62067,                  1.166,                0.65907,                 1.4026,              0.0012462,              0.0012462,              0.0012462
                     53,                0.93624,                0.59843,                  1.134,                0.91195,                 0.8363,                 0.9017,                0.63292,                 1.2834,                0.65041,                 1.5311,              0.0012379,              0.0012379,              0.0012379
                     54,                0.92589,                0.57592,                 1.1492,                0.92351,                0.80426,                0.89991,                0.62917,                 1.1795,                0.68885,                 1.4254,              0.0012297,              0.0012297,              0.0012297
                     55,                0.93319,                0.57425,                 1.1387,                0.93028,                0.79942,                0.89967,                0.61148,                 1.1475,                0.62692,                 1.3895,              0.0012214,              0.0012214,              0.0012214
                     56,                 0.9069,                 0.5689,                 1.1286,                0.93149,                 0.8448,                0.92176,                0.63325,                 1.2849,                0.65893,                 1.5363,              0.0012132,              0.0012132,              0.0012132
                     57,                0.92075,                0.57925,                 1.1329,                0.91999,                 0.8513,                0.91961,                0.61018,                 1.2368,                0.66248,                 1.4273,              0.0012049,              0.0012049,              0.0012049
                     58,                0.92839,                0.57459,                 1.1357,                0.91375,                0.82955,                0.91345,                0.62913,                 1.2622,                0.64483,                  1.536,              0.0011967,              0.0011967,              0.0011967
                     59,                0.91809,                0.57214,                 1.1298,                0.95268,                0.81991,                0.93399,                0.64982,                 1.2268,                0.60565,                 1.4871,              0.0011884,              0.0011884,              0.0011884
                     60,                0.89457,                0.55931,                 1.1343,                0.96645,                 0.7975,                0.92679,                0.64231,                 1.2007,                0.67368,                 1.4575,              0.0011802,              0.0011802,              0.0011802
                     61,                 0.9076,                0.55768,                 1.1079,                 0.9377,                0.76372,                0.90173,                0.62986,                 1.2414,                0.73759,                 1.4658,              0.0011719,              0.0011719,              0.0011719
                     62,                0.90965,                 0.5636,                 1.1256,                0.88017,                0.83584,                0.91191,                0.60234,                 1.3065,                0.74247,                 1.5639,              0.0011636,              0.0011636,              0.0011636
                     63,                0.88475,                0.54307,                  1.116,                0.86675,                0.87674,                0.88883,                0.59074,                 1.2788,                0.72221,                 1.5026,              0.0011554,              0.0011554,              0.0011554
                     64,                0.89971,                0.55851,                  1.129,                0.90134,                 0.8447,                0.91411,                0.61602,                 1.2206,                0.65611,                 1.4484,              0.0011471,              0.0011471,              0.0011471
                     65,                0.89645,                0.56549,                 1.1282,                0.83616,                0.87321,                0.90408,                0.61287,                 1.2707,                0.67317,                  1.505,              0.0011389,              0.0011389,              0.0011389
                     66,                0.88431,                0.54459,                 1.1055,                0.92584,                0.84587,                 0.9161,                0.62533,                 1.2425,                0.66829,                 1.4941,              0.0011306,              0.0011306,              0.0011306
                     67,                0.89727,                0.55707,                 1.1303,                0.88551,                0.79343,                0.89095,                0.61454,                 1.2182,                0.69588,                 1.4637,              0.0011224,              0.0011224,              0.0011224
                     68,                0.89041,                0.54479,                 1.1231,                0.92034,                0.87286,                0.92578,                0.61713,                 1.2706,                0.64892,                 1.5433,              0.0011141,              0.0011141,              0.0011141
                     69,                0.87301,                0.54145,                 1.1304,                0.93698,                0.84973,                0.92315,                0.63138,                 1.2034,                0.67901,                 1.4301,              0.0011059,              0.0011059,              0.0011059
                     70,                0.87649,                0.52893,                 1.1047,                0.84743,                0.85551,                0.91039,                0.63633,                 1.2387,                0.71765,                 1.5293,              0.0010976,              0.0010976,              0.0010976
                     71,                0.86769,                0.53665,                  1.115,                 0.8886,                0.85985,                0.91067,                0.63169,                 1.2486,                0.66394,                 1.5473,              0.0010894,              0.0010894,              0.0010894
                     72,                0.86066,                0.51806,                 1.1093,                0.92394,                0.80881,                0.90208,                0.61161,                 1.2553,                0.68462,                 1.5299,              0.0010811,              0.0010811,              0.0010811
                     73,                0.88672,                0.54244,                 1.1278,                0.86913,                0.90377,                0.91834,                0.61809,                 1.3633,                0.64837,                 1.6337,              0.0010729,              0.0010729,              0.0010729
                     74,                0.85256,                0.51797,                 1.1077,                0.95291,                0.79653,                0.91537,                0.62574,                 1.3025,                0.66474,                 1.6002,              0.0010646,              0.0010646,              0.0010646
                     75,                0.86861,                 0.5264,                 1.1079,                 0.9598,                0.85364,                0.92702,                 0.6477,                 1.2284,                0.63123,                  1.501,              0.0010564,              0.0010564,              0.0010564
                     76,                0.85635,                0.51203,                 1.1037,                0.95587,                0.82928,                0.92515,                0.63607,                 1.2209,                0.68147,                 1.4734,              0.0010481,              0.0010481,              0.0010481
                     77,                 0.8402,                0.53087,                 1.1063,                0.86135,                0.89038,                0.91579,                0.63209,                 1.2411,                0.70991,                 1.4956,              0.0010399,              0.0010399,              0.0010399
                     78,                0.88155,                0.54038,                 1.1126,                0.93198,                0.87497,                0.93152,                0.63712,                 1.2444,                 0.5854,                 1.4639,              0.0010316,              0.0010316,              0.0010316
                     79,                0.84908,                0.51288,                 1.0903,                0.90824,                0.88186,                0.91964,                0.64773,                 1.2969,                0.61607,                 1.6019,              0.0010234,              0.0010234,              0.0010234
                     80,                 0.8382,                0.50998,                 1.0835,                0.91594,                0.84306,                0.89945,                0.63274,                 1.2621,                0.65079,                 1.5308,              0.0010151,              0.0010151,              0.0010151
                     81,                0.85177,                0.51104,                 1.0987,                0.91586,                0.83056,                 0.9147,                0.62549,                 1.3071,                0.62163,                 1.5303,              0.0010069,              0.0010069,              0.0010069
                     82,                0.84411,                0.52193,                 1.0965,                0.96499,                 0.8254,                0.92817,                 0.6317,                  1.276,                0.62723,                 1.5647,             0.00099862,             0.00099862,             0.00099862
                     83,                0.83102,                0.50797,                 1.0852,                0.90543,                0.89363,                0.92821,                0.62979,                 1.3161,                0.59885,                 1.6381,             0.00099036,             0.00099036,             0.00099036
                     84,                0.82238,                0.49978,                 1.0842,                0.89264,                0.86159,                0.92494,                0.63762,                 1.2541,                0.63881,                 1.5446,             0.00098211,             0.00098211,             0.00098211
                     85,                0.84684,                0.51339,                 1.0807,                 0.8704,                0.91052,                0.93127,                0.63433,                 1.3212,                0.60221,                 1.5306,             0.00097386,             0.00097386,             0.00097386
                     86,                0.84599,                 0.5108,                 1.0908,                 0.9215,                  0.825,                0.92936,                 0.6259,                 1.2503,                0.69067,                 1.5039,             0.00096561,             0.00096561,             0.00096561
                     87,                0.82183,                0.49514,                 1.0866,                0.88682,                0.90185,                0.92792,                0.62833,                 1.2791,                 0.6667,                 1.5486,             0.00095736,             0.00095736,             0.00095736
                     88,                0.83361,                0.50287,                 1.0792,                0.88513,                0.87848,                0.92117,                0.63022,                 1.3177,                0.63592,                 1.6682,             0.00094911,             0.00094911,             0.00094911
                     89,                0.81191,                0.49615,                  1.075,                0.94336,                 0.7981,                0.90337,                0.61466,                 1.3859,                0.56997,                 1.7817,             0.00094085,             0.00094085,             0.00094085
                     90,                0.82245,                0.50515,                 1.0795,                0.93978,                0.84153,                0.92154,                0.64163,                 1.1961,                 0.7047,                 1.4311,              0.0009326,              0.0009326,              0.0009326
                     91,                0.80953,                0.49365,                 1.0858,                0.88789,                0.87965,                 0.9126,                0.62433,                 1.2434,                 0.7354,                 1.5148,             0.00092435,             0.00092435,             0.00092435
                     92,                0.81198,                0.49345,                 1.0723,                0.89959,                0.83712,                0.90085,                0.58639,                 1.3124,                0.67828,                  1.618,              0.0009161,              0.0009161,              0.0009161
                     93,                0.81153,                0.48676,                 1.0742,                0.84509,                0.85483,                0.89328,                0.60886,                 1.2145,                0.70948,                 1.4615,             0.00090785,             0.00090785,             0.00090785
                     94,                0.80308,                0.48767,                 1.0847,                0.87297,                0.88862,                 0.9188,                0.62236,                 1.1807,                0.62243,                 1.4586,              0.0008996,              0.0008996,              0.0008996
                     95,                 0.8114,                0.49086,                  1.075,                0.91838,                0.85319,                0.91708,                0.63397,                 1.2433,                0.59437,                 1.4928,             0.00089134,             0.00089134,             0.00089134
                     96,                0.81641,                0.47781,                 1.0811,                0.92324,                0.85145,                0.92725,                0.63971,                 1.1803,                0.66159,                 1.4335,             0.00088309,             0.00088309,             0.00088309
                     97,                0.79884,                0.46695,                 1.0608,                0.89801,                0.85389,                0.91822,                0.63408,                  1.194,                0.59687,                 1.4784,             0.00087484,             0.00087484,             0.00087484
                     98,                 0.7859,                0.46797,                 1.0585,                0.94189,                0.85448,                 0.9324,                0.64101,                 1.2541,                0.60812,                 1.5425,             0.00086659,             0.00086659,             0.00086659
